,location,price,type,bedrooms,bathrooms,furnishing,listed by,super builtup area (ft²),carpet area (ft²),bachelors allowed,maintenance (monthly),total floors,car parking,floor no,facing,project name
3623,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 7,000",Builder Floors,1,1,Semi-Furnished,Dealer,350,400,Yes,300,5,0,2,North-East,
3624,"DELHI,DWARKA MOR, DELHI","₹ 12,000",Builder Floors,2,2,Semi-Furnished,Dealer,560,540,Yes,0,4,1,1,North,
3625,"DELHI,RAMESH NAGAR, DELHI","₹ 11,000",Builder Floors,1,1,Unfurnished,Dealer,500,480,Yes,0,4,0,1,North-East,
3626,"DELHI,RAMESH NAGAR, DELHI","₹ 14,999",Apartments,1,1,Furnished,Dealer,500,470,Yes,0,4,0,1,North-East,
3627,"DELHI,SUBHASH NAGAR, DELHI","₹ 15,999",Apartments,1,1,Furnished,Dealer,500,490,Yes,0,4,1,1,North-East,
3628,"DELHI,KAROL BAGH, DELHI","₹ 13,999",Builder Floors,1,1,Furnished,Dealer,550,480,Yes,0,4,0,1,North-East,
3629,"DELHI,RAMESH NAGAR, DELHI","₹ 15,000",Apartments,1,1,Furnished,Dealer,550,490,Yes,0,4,0,1,North-East,
3630,"DELHI,KAROL BAGH, DELHI","₹ 17,999",Apartments,2,2,Furnished,Dealer,850,800,Yes,0,4,0,1,North-East,
3631,"DELHI,PATEL NAGAR, DELHI","₹ 12,999",Apartments,2,1,Semi-Furnished,Dealer,750,700,Yes,0,4,0,1,North-East,
3632,"DELHI,RAMESH NAGAR, DELHI","₹ 15,999",Builder Floors,2,1,Unfurnished,Dealer,800,750,Yes,0,4,0,1,North-East,
3633,"DELHI,KAROL BAGH, DELHI","₹ 17,999",Apartments,2,2,Furnished,Dealer,800,740,Yes,0,4,1,1,North-East,
3634,"DELHI,KAROL BAGH, DELHI","₹ 17,499",Builder Floors,3,2,Semi-Furnished,Dealer,1200,1170,Yes,200,4,1,1,North-East,
3635,"DELHI,KAROL BAGH, DELHI","₹ 17,999",Builder Floors,3,2,Semi-Furnished,Dealer,1300,1260,Yes,200,4,1,1,North-East,
3636,"DELHI,KAROL BAGH, DELHI","₹ 18,000",Builder Floors,2,2,Furnished,Dealer,800,760,Yes,200,4,0,1,North-East,
3637,"DELHI,UTTAM NAGAR, DELHI","₹ 14,000",Builder Floors,2,2,Semi-Furnished,Dealer,1000,950,No,800,4,1,4,North,
3638,"DELHI,DWARKA MOR, DELHI","₹ 29,000",Apartments,2,2,Furnished,Dealer,1550,1350,Yes,4800,12,2,2,South-East,
3639,"DELHI,ROHINI SECTOR 15, DELHI","₹ 25,000",Builder Floors,3,3,Furnished,Owner,1200,1200,Yes,0,3,1,3,North-East,
3640,"DELHI,UTTAM NAGAR, DELHI","₹ 11,500",Builder Floors,2,1,Furnished,Builder,540,450,Yes,0,3,,2,East,
3641,"DELHI,SAKET, DELHI","₹ 12,000",Apartments,2,2,Semi-Furnished,Dealer,850,800,Yes,500,5,1,1,North-West,
3642,"DELHI,CHATTARPUR, DELHI","₹ 17,000",Builder Floors,3,2,Semi-Furnished,Dealer,1100,1000,Yes,500,4,1,2,East,
3643,"DELHI,ROHINI AVANTIKA, DELHI","₹ 6,500",Builder Floors,2,1,Unfurnished,Dealer,3000,3000,Yes,0,3,0,3,North,
3644,"DELHI,DWARKA SECTOR 23, DELHI","₹ 9,500",Builder Floors,1,1,Semi-Furnished,Dealer,450,400,Yes,500,4,1,2,East,
3645,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,950,950,Yes,1000,5,0,3,South-East,
3646,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,750,750,Yes,1000,4,0,1,South,
3647,"DELHI,CHATTARPUR, DELHI","₹ 7,000",Apartments,1,1,Semi-Furnished,Owner,740,740,Yes,1000,4,0,2,South-East,
3648,"DELHI,STATE BANK NAGAR, DELHI","₹ 15,000",Apartments,2,1,Semi-Furnished,Owner,750,750,No,200,4,1,1,West,
3649,"DELHI,ROHINI AVANTIKA, DELHI","₹ 6,500",Builder Floors,2,1,Unfurnished,Owner,2000,2000,Yes,0,3,0,2,North,
3650,"DELHI,DWARKA SECTOR 19, DELHI","₹ 15,500",Builder Floors,2,2,Semi-Furnished,Dealer,750,700,Yes,500,3,1,3,North-East,
3651,"DELHI,DWARKA SECTOR 23, DELHI","₹ 10,000",Builder Floors,2,2,Semi-Furnished,Dealer,750,70,Yes,500,4,1,3,East,
3652,"DELHI,SAKET, DELHI","₹ 30,000",Builder Floors,2,2,Furnished,Dealer,1000,900,Yes,900,4,1,2,North-East,
3653,"DELHI,MOTI NAGAR, DELHI","₹ 16,000",Builder Floors,2,1,Semi-Furnished,Dealer,800,800,Yes,8860120072,8700723183,1,8700741027,,
3654,"DELHI,TILAK NAGAR, DELHI","₹ 11,900",Builder Floors,1,1,Furnished,Dealer,450,450,Yes,100,3,1,3,South-West,
3655,"DELHI,MAHIPALPUR, DELHI","₹ 4,000",Houses & Villas,1,1,Unfurnished,Owner,300,300,Yes,4000,2,0,1375,South-West,
3656,"DELHI,DWARKA MOR, DELHI","₹ 30,000",Apartments,3,3,Semi-Furnished,Dealer,1800,1650,Yes,6000,12,2,8,West,
3657,"DELHI,KESHOPUR, DELHI","₹ 9,000",Apartments,3,1,Unfurnished,Owner,1000,1000,Yes,0,3,1,3,East,
3658,"DELHI,UTTAM NAGAR, DELHI","₹ 14,900",Apartments,3,2,Semi-Furnished,Builder,890,890,Yes,0,4,1,1,South-West,
3659,"DELHI,NIRMAN VIHAR, DELHI","₹ 3,500",Builder Floors,2,2,Furnished,Owner,45,45,Yes,1,2,0,1,East,
3660,"DELHI,SAKET, DELHI","₹ 10,000",Apartments,1,1,Semi-Furnished,Dealer,600,520,Yes,1000,4,1,1,North,
3661,"DELHI,VIKASPURI, DELHI","₹ 11,900",Builder Floors,1,1,Furnished,Owner,450,450,Yes,100,1,,3,North-East,
3662,"DELHI,DWARKA SECTOR 13, DELHI","₹ 25,000",Builder Floors,2,2,Semi-Furnished,Dealer,800,750,Yes,500,4,1,2,North-West,
3663,"DELHI,DWARKA MOR, DELHI","₹ 36,000",Apartments,4,4,Semi-Furnished,Dealer,2150,1900,Yes,7000,9,2,5,East,
3664,"DELHI,DWARKA MOR, DELHI","₹ 22,000",Apartments,2,2,Semi-Furnished,Dealer,1250,1170,Yes,5800,12,2,10,North,
3665,"DELHI,DWARKA MOR, DELHI","₹ 22,000",Apartments,2,2,Semi-Furnished,Dealer,1250,1150,Yes,3800,12,2,5,East,
3666,"DELHI,DWARKA SECTOR 19, DELHI","₹ 14,500",Builder Floors,2,2,Semi-Furnished,Dealer,750,700,Yes,500,4,1,2,South,
3667,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,750,750,Yes,1000,5,0,2,South,
3668,"DELHI,NANGLOI, DELHI","₹ 4,500",Apartments,1,1,Semi-Furnished,Owner,1500,1200,Yes,0,3,1,2,East,
3669,"DELHI,BATLA HOUSE, DELHI","₹ 4,999",Apartments,1,1,Unfurnished,Owner,25,30,,,5,0,4,North-East,
3670,"DELHI,KHANPUR, DELHI","₹ 11,000",Builder Floors,2,2,Semi-Furnished,Dealer,750,700,Yes,500,4,1,3,East,
3671,"DELHI,KHANPUR, DELHI","₹ 16,000",Builder Floors,3,2,Semi-Furnished,Dealer,950,900,Yes,500,4,1,2,East,
3672,"DELHI,KHANPUR, DELHI","₹ 13,000",Builder Floors,2,,Semi-Furnished,Dealer,750,700,Yes,500,4,1,2,East,
3673,"DELHI,UTTAM NAGAR, DELHI","₹ 4,000",Apartments,1,1,Semi-Furnished,Owner,350,300,Yes,,5,,1,,
3674,"DELHI,UTTAM NAGAR, DELHI","₹ 11,500",Builder Floors,2,2,Semi-Furnished,Dealer,700,700,Yes,,4,1,2,North,
3675,"DELHI,UTTAM NAGAR, DELHI","₹ 8,000",Builder Floors,1,1,Semi-Furnished,Dealer,500,500,Yes,0,4,0,2,East,
3676,"DELHI,SAKET, DELHI","₹ 8,000",Apartments,1,1,Semi-Furnished,Dealer,250,250,Yes,500,4,1,1,North-East,
3677,"DELHI,GOVINDPURI, DELHI","₹ 16,000",Builder Floors,3,2,Unfurnished,Dealer,1100,1000,Yes,,4,,1,North-East,
3678,"DELHI,SUBHASH NAGAR, DELHI","₹ 33,000",Builder Floors,2,2,Furnished,Owner,1100,1000,Yes,2000,4,2,1,East,
3679,"DELHI,KESHAV PURAM, DELHI","₹ 11,000",Builder Floors,2,1,Semi-Furnished,Owner,850,750,Yes,,4,1,4,North-East,
3680,"DELHI,BURARI, DELHI","₹ 7,000",Builder Floors,2,1,Semi-Furnished,Owner,460,450,Yes,0,4,1,3,East,
3681,"DELHI,NIRANKARI COLONY, DELHI","₹ 11,000",Apartments,2,1,Unfurnished,Owner,50,50,Yes,11000,4,0,3,,
3682,"DELHI,UTTAM NAGAR, DELHI","₹ 12,000",Builder Floors,2,2,Semi-Furnished,Dealer,700,650,Yes,,4,1,2,East,
3683,"DELHI,CHATTARPUR, DELHI","₹ 8,000",,,,,,,,,,,,,,
3684,"DELHI,DWARKA MOR, DELHI","₹ 8,500",Builder Floors,2,1,Semi-Furnished,Owner,500,650,Yes,200,2,3,2,South,
3685,"DELHI,JAHANGIRPURI, DELHI","₹ 14,500",Apartments,2,,,Owner,0,0,Yes,,,,,,
3686,"DELHI,GOVINDPURI, DELHI","₹ 10,900",Builder Floors,2,2,Unfurnished,Dealer,520,500,Yes,,4,,1,South,
3687,"DELHI,CHATTARPUR, DELHI","₹ 12,000",Houses & Villas,2,2,Semi-Furnished,Dealer,700,650,Yes,500,1,,1,East,
3688,"DELHI,CHATTARPUR, DELHI","₹ 16,000",Apartments,2,2,Semi-Furnished,Dealer,1000,900,Yes,1000,2,1,1,East,
3689,"DELHI,CHATTARPUR, DELHI","₹ 12,500",Builder Floors,2,2,Semi-Furnished,Dealer,800,700,Yes,,5,1,2,North,
3690,"DELHI,CHATTARPUR, DELHI","₹ 5,500",Apartments,1,1,Semi-Furnished,Owner,450,450,Yes,500,4,0,1,South,
3691,"DELHI,DWARKA, DELHI","₹ 24,000",Apartments,2,2,Semi-Furnished,Dealer,800,700,Yes,500,4,1,4,North-East,
3692,"DELHI,DWARKA SECTOR 23, DELHI","₹ 7,500",Apartments,1,1,Unfurnished,Dealer,400,340,Yes,500,4,1,1,East,
3693,"DELHI,UTTAM NAGAR, DELHI","₹ 12,500",Apartments,2,2,Semi-Furnished,Dealer,700,650,Yes,,4,1,2,East,
3694,"DELHI,GOVINDPURI, DELHI","₹ 10,600",Builder Floors,2,2,Semi-Furnished,Dealer,650,600,Yes,300,4,0,1,North-East,
3695,"DELHI,DWARKA MOR, DELHI","₹ 10,000",Builder Floors,1,1,Furnished,Dealer,540,530,Yes,200,4,0,3,North,
3696,"DELHI,DWARKA MOR, DELHI","₹ 10,000",Builder Floors,2,2,Semi-Furnished,Dealer,650,640,No,250,4,0,2,North-West,
3697,"DELHI,RAJPUR KHURD EXTENSION, DELHI","₹ 20,000",Apartments,2,2,Semi-Furnished,Dealer,1000,900,Yes,500,3,1,1,East,
3698,"DELHI,UTTAM NAGAR, DELHI","₹ 14,999",Builder Floors,3,2,Furnished,Builder,750,650,Yes,150,4,1,1,East,
3699,"DELHI,UTTAM NAGAR, DELHI","₹ 12,500",Builder Floors,3,2,Semi-Furnished,Builder,1050,950,Yes,100,4,1,3,East,
3700,"DELHI,UTTAM NAGAR, DELHI","₹ 9,500",Houses & Villas,2,2,Unfurnished,Builder,540,450,Yes,0,,1,,West,
3701,"DELHI,UTTAM NAGAR, DELHI","₹ 13,999",Builder Floors,2,2,Furnished,Builder,650,550,Yes,100,4,1,1,East,
3702,"DELHI,UTTAM NAGAR, DELHI","₹ 10,500",Builder Floors,2,2,Semi-Furnished,Builder,650,650,Yes,0,4,1,2,East,
3703,"DELHI,UTTAM NAGAR, DELHI","₹ 11,000",Builder Floors,2,2,Semi-Furnished,Builder,1100,1100,Yes,0,4,0,3,East,
3704,"DELHI,UTTAM NAGAR, DELHI","₹ 13,000",Builder Floors,3,1,Semi-Furnished,Builder,750,750,Yes,0,4,1,1,East,
3705,"DELHI,UTTAM NAGAR, DELHI","₹ 9,500",Builder Floors,2,1,Semi-Furnished,Builder,550,550,Yes,0,4,1,1,East,
3706,"DELHI,UTTAM NAGAR, DELHI","₹ 8,900",Builder Floors,2,1,Semi-Furnished,Builder,550,550,Yes,0,4,0,1,East,
3707,"DELHI,UTTAM NAGAR, DELHI","₹ 6,500",Builder Floors,1,1,Semi-Furnished,Builder,450,450,Yes,0,4,0,1,East,
3708,"DELHI,UTTAM NAGAR, DELHI","₹ 15,500",Builder Floors,3,2,Semi-Furnished,Builder,1100,1100,Yes,0,4,1,1,East,
3709,"DELHI,UTTAM NAGAR, DELHI","₹ 9,900",Builder Floors,2,2,Semi-Furnished,Builder,550,550,Yes,0,4,1,1,East,
3710,"DELHI,UTTAM NAGAR, DELHI","₹ 9,500",Builder Floors,2,2,Semi-Furnished,Builder,550,550,Yes,0,4,1,1,East,
3711,"DELHI,UTTAM NAGAR, DELHI","₹ 9,900",Builder Floors,2,2,Semi-Furnished,Builder,550,550,Yes,0,4,0,1,East,
3712,"DELHI,CHATTARPUR, DELHI","₹ 10,500",Builder Floors,2,2,Semi-Furnished,Dealer,900,850,Yes,200,4,1,1,East,
3713,"DELHI,SAKET, DELHI","₹ 11,000",Builder Floors,1,1,Semi-Furnished,Dealer,600,520,Yes,500,4,1,1,North-East,
3714,"DELHI,DWARKA MOR, DELHI","₹ 4,500",Builder Floors,1,1,Unfurnished,Dealer,315,310,Yes,200,4,0,2,North,
3715,"DELHI,UTTAM NAGAR, DELHI","₹ 7,500",Builder Floors,1,1,Semi-Furnished,Builder,450,450,Yes,0,4,0,1,West,
3716,"DELHI,UTTAM NAGAR, DELHI","₹ 6,500",Builder Floors,1,1,Semi-Furnished,Builder,350,350,Yes,0,4,0,1,East,
3717,"DELHI,SHAHPUR JAT VILLAGE, DELHI","₹ 20,000",Apartments,1,1,Furnished,Dealer,500,450,Yes,500,3,,2,South,
3718,"DELHI,UTTAM NAGAR, DELHI","₹ 12,000",Builder Floors,2,2,Semi-Furnished,Dealer,747,720,No,0,4,1,1,North-East,
3719,"DELHI,UTTAM NAGAR, DELHI","₹ 11,200",Builder Floors,2,2,Semi-Furnished,Dealer,747,720,Yes,0,4,1,1,East,
3720,"DELHI,BHAGWATI VIHAR, DELHI","₹ 9,000",Builder Floors,2,2,Semi-Furnished,Owner,540,500,Yes,100,4,0,4,East,
3721,"DELHI,SHASTRI NAGAR, DELHI","₹ 5,500",Builder Floors,1,1,Unfurnished,Dealer,225,200,Yes,0,4,0,2,North-East,
3722,"DELHI,LAXMI NAGAR, DELHI","₹ 10,000",Builder Floors,2,1,Semi-Furnished,Dealer,500,450,Yes,200,4,0,2,North-East,
3723,"DELHI,GREEN PARK, DELHI","₹ 24,000",Apartments,1,1,Furnished,Dealer,500,450,Yes,,,,1,,
3724,"DELHI,DWARKA SECTOR 23, DELHI","₹ 7,000",Apartments,1,1,Unfurnished,Dealer,380,350,Yes,200,4,1,4,East,
3725,"DELHI,GOVINDPURI, DELHI","₹ 10,000",Builder Floors,2,2,Semi-Furnished,Dealer,650,600,Yes,300,4,0,2,North-East,
3726,"DELHI,UTTAM NAGAR, DELHI","₹ 10,400",Builder Floors,2,2,Semi-Furnished,Builder,630,540,No,200,4,1,1,East,
3727,"DELHI,UTTAM NAGAR, DELHI","₹ 8,500",Builder Floors,1,1,Semi-Furnished,Builder,550,550,Yes,0,4,0,1,East,
3728,"DELHI,UTTAM NAGAR, DELHI","₹ 9,500",Builder Floors,1,1,Furnished,Builder,550,450,Yes,100,4,0,2,East,
3729,"DELHI,UTTAM NAGAR, DELHI","₹ 16,500",Builder Floors,3,2,Semi-Furnished,Builder,1100,1100,Yes,0,4,1,1,East,
3730,"DELHI,DWARKA MOR, DELHI","₹ 14,000",Builder Floors,3,2,Semi-Furnished,Dealer,900,890,Yes,500,8,1,4,North-West,
3731,"DELHI,KALKAJI, DELHI","₹ 13,000",Apartments,1,1,Furnished,Owner,300,250,Yes,0,5,1,1,North-East,
3732,"DELHI,MADHUBAN CHOWK, DELHI","₹ 17,000",Builder Floors,2,2,Semi-Furnished,Dealer,600,550,Yes,0,4,1,1,North-East,
3733,"DELHI,UTTAM NAGAR, DELHI","₹ 9,900",Builder Floors,2,2,Semi-Furnished,Builder,650,650,Yes,0,4,1,1,East,
3734,"DELHI,UTTAM NAGAR, DELHI","₹ 9,200",Builder Floors,2,1,Semi-Furnished,Builder,550,550,Yes,0,4,0,1,East,
3735,"DELHI,UTTAM NAGAR, DELHI","₹ 8,000",Builder Floors,1,1,Semi-Furnished,Builder,450,450,Yes,0,4,0,1,East,
3736,"DELHI,UTTAM NAGAR, DELHI","₹ 11,900",Builder Floors,2,2,Semi-Furnished,Builder,550,550,Yes,0,4,1,1,East,
3737,"DELHI,UTTAM NAGAR, DELHI","₹ 8,000",Builder Floors,1,1,Semi-Furnished,Builder,550,450,Yes,0,3,0,1,East,
3738,"DELHI,RAJPUR KHURD EXTENSION, DELHI","₹ 12,000",Houses & Villas,2,2,Semi-Furnished,Dealer,1000,900,Yes,,2,1,1,West,
3739,"DELHI,DWARKA MOR, DELHI","₹ 10,000",Apartments,2,2,Semi-Furnished,Dealer,650,600,Yes,0,4,0,2,North-East,
3740,"DELHI,CHATTARPUR, DELHI","₹ 9,000",Builder Floors,1,1,Semi-Furnished,Dealer,500,450,Yes,,5,1,4,North,
3741,"DELHI,LAXMI NAGAR, DELHI","₹ 8,000",Builder Floors,1,1,Semi-Furnished,Dealer,400,400,Yes,200,4,0,3,North,
3742,"DELHI,RAJPUR KHURD EXTENSION, DELHI","₹ 9,000",Builder Floors,1,1,Semi-Furnished,Dealer,500,450,Yes,500,5,1,1,East,
3743,"DELHI,SHASTRI NAGAR, DELHI","₹ 9,000",Builder Floors,2,1,Unfurnished,Dealer,450,425,Yes,,4,2,1,North-East,
3744,"DELHI,SHAHPUR JAT VILLAGE, DELHI","₹ 15,000",Houses & Villas,2,1,Semi-Furnished,Owner,700,650,Yes,500,3,,2,West,
3745,"DELHI,LAXMI NAGAR, DELHI","₹ 19,500",Builder Floors,3,2,Semi-Furnished,Dealer,900,900,Yes,1000,4,0,2,North-East,
3746,"DELHI,BHAGWATI GARDEN, DELHI","₹ 6,500",Builder Floors,2,1,Unfurnished,Owner,540,540,Yes,0,3,0,1,South,
3747,"DELHI,LAXMI NAGAR, DELHI","₹ 9,500",Builder Floors,1,1,Semi-Furnished,Dealer,400,400,Yes,100,4,0,3,North-West,
3748,"DELHI,SAKET, DELHI","₹ 5,300",Apartments,1,1,Semi-Furnished,Dealer,250,250,Yes,500,4,1,1,North-East,
3749,"DELHI,SAKET, DELHI","₹ 6,500",Apartments,1,1,Semi-Furnished,Dealer,500,500,Yes,500,5,1,1,North,
3750,"DELHI,SAKET, DELHI","₹ 9,000",Builder Floors,1,1,Semi-Furnished,Dealer,500,480,Yes,500,4,0,1,North-East,
3751,"DELHI,LAXMI NAGAR, DELHI","₹ 6,200",Builder Floors,1,1,Semi-Furnished,Dealer,300,300,Yes,100,4,0,2,North-East,
3752,"DELHI,GOVINDPURI, DELHI","₹ 13,000",Houses & Villas,2,2,Semi-Furnished,Dealer,50,40,Yes,300,5,,2,West,
3753,"DELHI,VIKASPURI, DELHI","₹ 13,000",Builder Floors,2,2,Unfurnished,Dealer,750,750,Yes,100,3,,1,North-West,
3754,"DELHI,CHATTARPUR, DELHI","₹ 5,500",Apartments,1,1,Semi-Furnished,Owner,750,750,Yes,1000,5,0,1,South,
3755,"DELHI,CHATTARPUR, DELHI","₹ 7,500",Apartments,1,1,Semi-Furnished,Owner,750,750,,500,5,0,2,South,
3756,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,1,1,Semi-Furnished,Owner,800,800,Yes,1000,5,0,2,South,
3757,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,1,1,Semi-Furnished,Owner,740,740,Yes,1000,4,0,2,South,
3758,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 6,000",Builder Floors,1,1,Furnished,Dealer,300,250,Yes,,4,0,2,East,
3759,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 6,000",Builder Floors,1,1,Semi-Furnished,Dealer,300,250,Yes,,4,0,2,East,
3760,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 6,000",Builder Floors,1,1,Unfurnished,Dealer,300,250,Yes,,4,0,2,East,
3761,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 8,000",Builder Floors,1,1,Unfurnished,Dealer,450,400,Yes,,4,0,1,East,
3762,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 10,000",Builder Floors,2,1,Semi-Furnished,Dealer,500,450,Yes,,4,0,2,East,
3763,"DELHI,TILAK NAGAR, DELHI","₹ 11,900",Builder Floors,1,1,Furnished,Dealer,450,450,Yes,100,4,1,3,North-East,
3764,"DELHI,UTTAM NAGAR, DELHI","₹ 15,000",Apartments,3,3,Semi-Furnished,Dealer,850,800,Yes,0,4,1,2,North-East,
3765,"DELHI,VIKASPURI, DELHI","₹ 8,500",Builder Floors,1,1,Unfurnished,Dealer,450,450,Yes,500,3,,1,North-West,
3766,"DELHI,SAKET, DELHI","₹ 8,000",Builder Floors,1,1,Semi-Furnished,Dealer,350,300,Yes,500,4,0,1,North-East,
3767,"DELHI,UTTAM NAGAR, DELHI","₹ 7,900",Apartments,1,1,Semi-Furnished,Builder,540,540,Yes,0,4,0,2,North,
3768,"DELHI,DWARKA MOR, DELHI","₹ 21,000",Builder Floors,3,2,Semi-Furnished,Builder,950,910,Yes,,4,1,3,,
3769,"DELHI,VIKASPURI, DELHI","₹ 12,900",Apartments,2,1,Furnished,Dealer,850,850,Yes,100,3,1,2,North-East,
3770,"DELHI,PALAM, DELHI","₹ 6,500",,,,Furnished,Dealer,850,850,Yes,100,3,1,2,North-East,
3771,"DELHI,PALAM, DELHI","₹ 8,500",Builder Floors,1,1,Semi-Furnished,Dealer,550,500,Yes,500,3,,4,East,
3772,"DELHI,SAGARPUR MAIN, DELHI","₹ 4,500",Builder Floors,1,1,Unfurnished,Owner,200,120,Yes,0,2,0,1,West,
3773,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 8,000",Builder Floors,1,1,Unfurnished,Dealer,350,300,Yes,10,5,0,1,East,
3774,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 6,000",Builder Floors,1,1,Unfurnished,Dealer,350,300,Yes,10,4,0,2,East,
3775,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 7,000",Builder Floors,1,1,Unfurnished,Dealer,400,350,Yes,10,4,0,2,East,
3776,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 8,500",Builder Floors,1,1,Unfurnished,Dealer,450,400,Yes,0,5,0,2,East,
3777,"DELHI,DWARKA SECTOR 19, DELHI","₹ 18,000",Builder Floors,2,1,Furnished,Dealer,650,600,Yes,500,4,1,2,North,
3778,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,750,750,Yes,1000,4,0,2,South-East,
3779,"DELHI,CHATTARPUR, DELHI","₹ 7,500",Apartments,2,1,Semi-Furnished,Owner,850,850,Yes,1000,5,0,2,South,
3780,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 6,000",Builder Floors,1,1,Unfurnished,Dealer,300,250,Yes,,4,0,2,East,
3781,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 5,500",Builder Floors,1,1,Semi-Furnished,Dealer,300,250,Yes,,4,0,3,East,
3782,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 7,500",Builder Floors,1,1,Semi-Furnished,Dealer,400,350,Yes,10,5,0,2,East,
3783,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 5,500",Builder Floors,1,1,Unfurnished,Dealer,350,300,Yes,10,5,0,1,East,
3784,"DELHI,DWARKA MOR, DELHI","₹ 14,000",Builder Floors,3,2,Semi-Furnished,Dealer,900,920,Yes,200,4,1,1,East,
3785,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 11,000",Builder Floors,2,1,Semi-Furnished,Dealer,550,500,Yes,400,5,0,1,North-East,
3786,"DELHI,DWARKA MOR, DELHI","₹ 25,000",Builder Floors,3,2,Furnished,Builder,910,900,Yes,,4,1,3,,
3787,"DELHI,NEW ASHOK NAGAR, DELHI","₹ 6,000",Builder Floors,1,1,Unfurnished,Dealer,350,300,Yes,10,5,0,2,East,
3788,"DELHI,LAXMI NAGAR, DELHI","₹ 8,500",Builder Floors,1,1,Semi-Furnished,Dealer,450,450,Yes,500,4,0,2,North-East,
3789,"DELHI,BADARPUR, DELHI","₹ 8,000",Apartments,1,1,Semi-Furnished,Owner,360,320,Yes,100,4,0,1,South,
3790,"DELHI,DWARKA SECTOR 19, DELHI","₹ 12,000",Builder Floors,2,1,Semi-Furnished,Dealer,650,600,Yes,500,4,1,3,North-East,
3791,"DELHI,DWARKA SECTOR 19, DELHI","₹ 12,500",Builder Floors,2,1,Semi-Furnished,Dealer,650,600,Yes,500,5,1,2,North-East,
3792,"DELHI,DWARKA SECTOR 19, DELHI","₹ 18,000",Builder Floors,2,1,Furnished,Dealer,650,600,Yes,500,5,1,2,North-East,
3793,"DELHI,CHATTARPUR, DELHI","₹ 6,000",Apartments,1,1,Semi-Furnished,Owner,650,650,Yes,1000,5,0,1,South,
3794,"DELHI,CHATTARPUR, DELHI","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,850,850,Yes,1000,4,0,1,South-East,
3795,"DELHI,MAHIPALPUR, DELHI","₹ 8,000",Apartments,1,1,Furnished,Owner,700,650,Yes,100,5,0,3,North-East,
3796,"DELHI,DWARKA SECTOR 19, DELHI","₹ 18,000",Builder Floors,2,1,Furnished,Dealer,650,600,Yes,500,5,0,5,North-East,
3797,"DELHI,DWARKA MOR, DELHI","₹ 12,000",Builder Floors,2,2,Semi-Furnished,Dealer,600,550,Yes,0,8,1,1,North,
3798,"DELHI,DWARKA MOR, DELHI","₹ 12,000",Builder Floors,2,2,Unfurnished,Dealer,600,6500,Yes,0,4,1,2,South-West,
3799,"DELHI,DWARKA MOR, DELHI","₹ 12,000",Builder Floors,1,1,Furnished,Dealer,500,450,Yes,0,8,1,1,North,
3800,"DELHI,DWARKA SECTOR 14, DELHI","₹ 15,000",Apartments,1,1,Furnished,Dealer,600,500,Yes,0,4,1,1,East,
3801,"DELHI,UTTAM NAGAR, DELHI","₹ 25,000",Builder Floors,3,2,Furnished,Owner,900,850,Yes,0,8,1,1,East,
3802,"DELHI,DWARKA MOR, DELHI","₹ 8,400",Builder Floors,2,2,Semi-Furnished,Dealer,540,530,Yes,200,4,0,2,South-East,
3803,"DELHI,BATLA HOUSE, DELHI","₹ 12,500",Apartments,4,2,Semi-Furnished,Owner,1100,1000,No,500,5,0,4,North,
3804,"DELHI,SAKET, DELHI","₹ 11,000",Builder Floors,1,1,Semi-Furnished,Dealer,620,600,Yes,500,4,1,1,North-East,
3805,"DELHI,DWARKA MOR, DELHI","₹ 25,000",Builder Floors,3,2,Furnished,Owner,900,850,Yes,0,8,1,1,East,
3806,"DELHI,DWARKA MOR, DELHI","₹ 12,000",Builder Floors,1,1,Furnished,Owner,500,450,Yes,0,8,0,1,East,
3807,"DELHI,DWARKA MOR, DELHI","₹ 8,000",,,,,,,,,,,,,,
3808,"DELHI,DWARKA MOR, DELHI","₹ 26,000",Apartments,3,2,Furnished,Dealer,900,850,Yes,0,8,1,3,East,
